area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,6 Bedroom,Ganeshkhind,,3600,6,1,200
Super built-up  Area,Ready To Move,2 BHK,Ghorpade Peth,Rancy R,1178,2,3,82
Super built-up  Area,Ready To Move,3 BHK,Ghorpadi,,1430,3,2,59
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Neisei ,1400,2,2,65.8
Super built-up  Area,Ready To Move,2 BHK,Gultekdi,Bhmesy ,1093,2,2,72
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,Bhave E,1200,2,1,45
Plot  Area,Ready To Move,5 Bedroom,Hadapsar,,5000,6,1,360
Built-up  Area,15-Dec,3 BHK,Hadapsar Industrial Estate,Bhsic C,1200,2,0,130
Built-up  Area,18-Apr,3 BHK,Hingne Khurd,,2210,3,2,156
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,Revane ,1150,2,2,70
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,,1435,2,1,60
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,600,3,,100
Super built-up  Area,20-Dec,2 BHK,Karve Road,Oreldhi,1173,2,1,78.2
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,SLaceda,1140,2,1,39
Super built-up  Area,Ready To Move,3 BHK,Katraj,Reicace,1717,3,3,120
Super built-up  Area,Ready To Move,2 BHK,Khadaki,GMilse ,1325,2,,65
Built-up  Area,Ready To Move,3 BHK,Khadki,Macanr ,1370,3,2,67
Super built-up  Area,21-Aug,2 BHK,Kharadi,GMownTe,1025,2,1,90
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,,1409,2,3,62
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,SRageri,1200,2,1,52
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Khurd,NRtesnd,1200,2,1,53.5
Super built-up  Area,18-Feb,3 BHK,Koregaon Park,BrlisCo,1740,4,3,130
Super built-up  Area,19-Mar,2 BHK,Kothrud,Puachal,1232,2,1,88
Plot  Area,18-Nov,2 Bedroom,Law College Road,,1200,2,1,36
Super built-up  Area,Ready To Move,4 BHK,Laxmi Road,Toindls,5924,4,3,625
Super built-up  Area,Ready To Move,2 BHK,Lulla Nagar,Shnto F,1250,2,1,50
Built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,SNiew L,1475,2,2,171
Super built-up  Area,Ready To Move,4 BHK,Mangalwar peth,Alarke ,2100,4,2,85
Super built-up  Area,Ready To Move,1 BHK,Manik Bagh,,552,1,1,23.5
Super built-up  Area,Ready To Move,3 BHK,Market yard,,1065,2,2,42.59
Plot  Area,17-Aug,3 Bedroom,Model colony,,1000,3,1,130
Plot  Area,Ready To Move,2 Bedroom,Mukund Nagar,,1225,2,0,65
Built-up  Area,Ready To Move,1 BHK,Mundhawa,,650,1,0,16
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,Gancy P,1067,2,2,52
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,Sondaka,1364,2,2,56
Super built-up  Area,Ready To Move,3 BHK,Narayan Peth,,1750,3,3,75
Super built-up  Area,Ready To Move,2 BHK,Narayangaon,,1240,2,1,71
Plot  Area,Ready To Move,2 Bedroom,Navi Peth,,1200,2,0,75
Super built-up  Area,Ready To Move,3 BHK,Padmavati,,1540,3,,75
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,NChtsun,1504,2,2,102
Super built-up  Area,Ready To Move,2 BHK,Pashan,,1116,2,1,49.8
Super built-up  Area,Ready To Move,3 BHK,Paud Road,Samittv,2365,4,2,175
Built-up  Area,Ready To Move,2 BHK,Pirangut,,1308,2,2,37
Built-up  Area,Ready To Move,2 BHK,Prabhat Road,,864,2,0,45
Plot  Area,Ready To Move,5 Bedroom,Pune Railway Station,,1200,5,1,139
Super built-up  Area,Ready To Move,3 BHK,Rasta Peth,Sohti S,1069,2,,38
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Prersis,1333,2,1,100
Super built-up  Area,Ready To Move,4 BHK,Sadashiv Peth,,1800,4,1,145
Plot  Area,Ready To Move,4 Bedroom,Sahakar Nagar,Soyleif,6136,4,,550
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,Soitya ,1698,3,2,107
Super built-up  Area,18-Jun,3 BHK,Sasson Road,,1275,2,2,43.6
Super built-up  Area,Ready To Move,2 BHK,Satara Road,Avlls H,1060,2,1,48
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,1160,2,1,49
Super built-up  Area,Ready To Move,3 BHK,Shaniwar Peth,Arldsyo,1484,2,,65
Plot  Area,Ready To Move,3 Bedroom,Shivaji Nagar,,675,3,1,70
Plot  Area,Ready To Move,3 Bedroom,Shukrawar Peth,,1200,5,,325
Super built-up  Area,Ready To Move,2 BHK,Sinhagad Road,Mileeou,1310,2,1,66
Plot  Area,Ready To Move,6 Bedroom,Somwar Peth,,1806,6,1,370
Super built-up  Area,Ready To Move,4 BHK,Swargate,HViesar,3000,4,,240
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,,2145,3,2,165
Super built-up  Area,Ready To Move,3 BHK,Uruli Devachi,Duals P,1693,3,1,125
Super built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,DLhtsen,1230,3,3,60
Plot  Area,18-Jan,3 Bedroom,Wadgaon Sheri,Ozdiaan,1200,3,1,145
Built-up  Area,18-Aug,3 BHK,Viman Nagar,,1310,2,1,37.83
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,,1150,2,1,60
Super built-up  Area,18-Apr,3 BHK,Wagholi,Sadhii ,1385,2,2,66.5
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,Redarav,1066,2,2,52.5
Super built-up  Area,19-Dec,3 BHK,Wanowrie,DSity S,2293,3,2,80.26
Plot  Area,Ready To Move,3 Bedroom,Warje,,720,3,1,81
Carpet  Area,Ready To Move,3 BHK,Yerawada,,1625,3,3,92
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,,1246,2,1,67.4
Plot  Area,Ready To Move,4 Bedroom,Ambegaon Budruk,,2100,6,1,252
Super built-up  Area,Ready To Move,4 BHK,Anandnagar,,2400,4,3,250
Plot  Area,Ready To Move,6 Bedroom,Aundh,,3900,6,,195
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Axdam V,1000,2,1,70.65
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,MYncysi,907,2,2,38
Plot  Area,Ready To Move,4 Bedroom,Baner,,3500,4,0,138
Super built-up  Area,Ready To Move,3 BHK,Baner road,Vaensia,1395,2,3,79
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,Shont F,1180,2,2,50
Plot  Area,Ready To Move,5 Bedroom,Bhavani Peth,,1903,6,2,140
Super built-up  Area,18-Mar,2 BHK,Bibvewadi,,1175,2,1,47
Super built-up  Area,Ready To Move,2 BHK,Bopodi,,1272,2,2,51.5
Super built-up  Area,Ready To Move,3 BHK,Budhwar Peth,MadorSp,1490,2,1,92
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,IBityin,1144,2,2,67
Plot  Area,17-Aug,4 Bedroom,Camp,,2400,5,,140
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,SLtraks,1143,2,1,53
Plot  Area,Ready To Move,3 Bedroom,Dapodi,CoinoCu,2500,3,2,190
Super built-up  Area,18-Dec,2 BHK,Deccan Gymkhana,Prtates,1216,2,1,75
Super built-up  Area,17-Jun,2 BHK,Dehu Road,Mauil T,1044,2,1,60
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,Prlmsge,1352,3,1,93
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,,1552,3,3,75
Built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,Krala D,1785,3,2,120
Super built-up  Area,Ready To Move,2 BHK,Erandwane,,810,2,2,34.5
Super built-up  Area,18-May,3 BHK,Fatima Nagar,Naiewre,1650,3,2,51.98
Super built-up  Area,Ready To Move,3 BHK,Fergusson College Road,,1595,3,2,70.39
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,Rabow R,1060,2,1,35
Super built-up  Area,Ready To Move,3 BHK,Ganeshkhind,,1410,2,3,65
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,DSesthr,1523,2,2,56
Super built-up  Area,19-Jan,3 BHK,Ghorpadi,PrityFa,1591,3,1,122
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,SJcerpe,1640,3,3,84
Built-up  Area,Ready To Move,1 BHK,Gultekdi,KHatsFl,450,1,0,16
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,Amarere,1305,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Hadapsar,,1590,3,1,54
Built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,Frowsru,1240,2,3,45
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,,1200,2,2,54
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,,1100,2,1,41.16
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,K ncy R,1180,2,1,128
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,,1115,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Karve Road,Prityel,845,2,1,33
Super built-up  Area,Ready To Move,3 BHK,Kasba Peth,,1567.2,2,0,190
Super built-up  Area,Ready To Move,3 BHK,Katraj,Unm 2El,1310,2,2,45
Plot  Area,Ready To Move,1 Bedroom,Khadaki,,26136,1,0,150
Built-up  Area,Ready To Move,2 BHK,Khadki,,959,2,1,42.5
Built-up  Area,Ready To Move,4 BHK,Kharadi,,1200,4,1,140
Super built-up  Area,Ready To Move,2 BHK,Kondhwa,Prrtht ,883,2,1,37
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,,1050,2,2,55.5
Super built-up  Area,21-Mar,2 BHK,Kondhwa Khurd,Goues A,1390,2,2,70.21
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,,132Sq. Yards,2,3,46
Super built-up  Area,Ready To Move,3 BHK,Kothrud,AriosPa,1280,2,2,69
Plot  Area,Ready To Move,7 Bedroom,Law College Road,,1280,5,3,150
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,PuziaVe,1614,3,2,95
Super built-up  Area,Ready To Move,2 BHK,Lulla Nagar,,1000,2,0,58
Super built-up  Area,18-Apr,2 BHK,Mahatma Gandhi Road,,1196,2,2,57.9
Super built-up  Area,Ready To Move,3 BHK,Mangalwar peth,,1220,3,2,57
Super built-up  Area,19-Apr,2 BHK,Manik Bagh,Sisice ,950,2,1,31.95
Super built-up  Area,Ready To Move,9 BHK,Market yard,,2400,8,,325
Super built-up  Area,Ready To Move,2 BHK,Model colony,Daganva,1141,2,1,55
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,Saisena,1200,2,2,51
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,,1380,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,Elayabh,855,2,1,32
Super built-up  Area,18-Sep,1 BHK,Nana Peth,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,Siissi ,922,2,1,36
Built-up  Area,Ready To Move,2 BHK,Narayangaon,,1200,2,2,43.2
Super built-up  Area,Ready To Move,3 BHK,Navi Peth,Gaenty ,1240,2,2,65
Super built-up  Area,18-Aug,2 BHK,Padmavati,,1070,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,Almid P,1293,2,2,75
Built-up  Area,Ready To Move,3 BHK,Pashan,,1380,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Paud Road,Cerasy ,1599,3,2,80
Super built-up  Area,Ready To Move,2 BHK,Pirangut,Veyalin,967,2,2,41.1
Super built-up  Area,Ready To Move,3 BHK,Prabhat Road,SaMTBai,1885,3,3,90
Built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,860,2,2,65.5
Plot  Area,Ready To Move,1 Bedroom,Rasta Peth,,1075,1,0,19.5
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Ahriaup,1050,2,1,63.5
Super built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,PuilaMi,1595,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,Adeatlm,1350,2,2,102
Built-up  Area,Ready To Move,2 BHK,Salunke Vihar,Srntsha,1204,2,2,45
Super built-up  Area,Ready To Move,4 BHK,Sasson Road,SoineJa,2990,4,,240
Super built-up  Area,Ready To Move,2 BHK,Satara Road,Usquaya,1035,2,2,49
Super built-up  Area,18-Dec,2 BHK,Senapati Bapat Road,,1000,2,1,29.95
Super built-up  Area,Ready To Move,3 BHK,Shaniwar Peth,CoLeoen,1457,3,3,85
Super built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,,1194,2,2,47
Super built-up  Area,21-Dec,2 BHK,Shukrawar Peth,,1100,2,1,66
Super built-up  Area,18-Mar,3 BHK,Sinhagad Road,Prtates,1655,3,3,120
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,,1691.2,3,1,115
Super built-up  Area,18-Jun,2 BHK,Swargate,ViistLa,1215,2,1,46.1
Super built-up  Area,Ready To Move,2 BHK,Tilak Road,Wiowsri,1010 - 1300,2,0,50.125
Super built-up  Area,22-Jun,3 BHK,Uruli Devachi,GoAirej,1639,3,2,129
Super built-up  Area,18-Apr,3 BHK,Vadgaon Budruk,PualeSk,1685,3,1,135
Built-up  Area,Ready To Move,5 Bedroom,Wadgaon Sheri,,1008,4,2,180
Super built-up  Area,Ready To Move,2 BHK,Viman Nagar,Jhntspa,1100,2,3,38
Super built-up  Area,19-Sep,3 BHK,Vishrant Wadi,Vaeva E,2122,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Wagholi,,1050,2,2,47
Built-up  Area,Ready To Move,2 BHK,Wakadewadi,Sravema,1230,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,,1240,3,2,60
Built-up  Area,16-Oct,3 BHK,Warje,Brods W,1252,2,3,65
Super built-up  Area,Ready To Move,3 BHK,Yerawada,,1374,2,2,88
Super built-up  Area,18-Jul,1 BHK,Alandi Road,Maian M,500,1,1,30
Plot  Area,Ready To Move,8 Bedroom,Ambegaon Budruk,,1200,8,2,225
Super built-up  Area,18-Dec,3 BHK,Anandnagar,Magiaya,1355,3,2,83.87
Super built-up  Area,Ready To Move,2 BHK,Aundh,,1040,2,3,45
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Contsci,1350,2,2,68
Super built-up  Area,18-Apr,4 BHK,Balaji Nagar,Prtates,4003,6,3,300
Super built-up  Area,Ready To Move,3 BHK,Baner,JahtsHe,2400,3,,135
Super built-up  Area,Ready To Move,3 BHK,Baner road,Grterrr,1560,3,1,90
Super built-up  Area,17-Jul,2 BHK,Bhandarkar Road,ViensRK,1151,2,1,43.16
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,,1360,2,2,47.59
Super built-up  Area,Ready To Move,2 BHK,Bibvewadi,ARntyne,1250,2,2,60
Super built-up  Area,19-Dec,3 BHK,Bopodi,SuVue S,1110,2,2,29.97
Built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Baesta ,1015,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Trade E,1351,2,2,78
Super built-up  Area,Ready To Move,2 BHK,Camp,KHatsFl,960,2,2,50
Super built-up  Area,18-May,2 BHK,Chandan Nagar,,1110,2,2,52
Built-up  Area,Ready To Move,3 BHK,Dapodi,GModsNR,1680,3,2,72
Plot  Area,Ready To Move,3 Bedroom,Deccan Gymkhana,Vetanan,2400,3,1,180
Plot  Area,18-Apr,4 Bedroom,Dehu Road,Epllan ,11000,5,3,2000
Built-up  Area,18-Mar,3 BHK,Dhankawadi,SaaceSa,1350,3,2,48.6
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,Asorai ,1254,2,2,47
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,Ozensve,1255,3,2,115
Super built-up  Area,Ready To Move,2 BHK,Erandwane,ARestco,1051,2,3,61
Plot  Area,Ready To Move,3 Bedroom,Fatima Nagar,,1200,3,1,205
Built-up  Area,Ready To Move,2 BHK,Fergusson College Road,RaontWa,1099,2,2,65
Super built-up  Area,Ready To Move,3 BHK,Ganesh Peth,SNontle,2650,4,3,199
Built-up  Area,18-May,4 Bedroom,Ganeshkhind,,2000,2,1,160
Super built-up  Area,Ready To Move,2 BHK,Ghorpade Peth,RNvasth,1541,2,2,130
Plot  Area,18-May,3 Bedroom,Ghorpadi,Cetattu,1200,3,2,70
Built-up  Area,Ready To Move,2 BHK,Gokhale Nagar,GCngsn ,1125,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,Prlla C,1650,3,2,85
Super built-up  Area,Ready To Move,1 BHK,Guruwar peth,Kaantth,834,1,1,62
Super built-up  Area,Ready To Move,3 BHK,Hadapsar,Mauner ,1320,3,2,60
Plot  Area,Ready To Move,3 Bedroom,Hadapsar Industrial Estate,,1200,3,1,149
Plot  Area,Ready To Move,8 Bedroom,Hingne Khurd,,1000,7,0,160
Super built-up  Area,19-Apr,3 BHK,Jangali Maharaj Road,Brama P,1500,3,2,74
Plot  Area,Ready To Move,4 Bedroom,Kalyani Nagar,Pronege,4400,5,2,500
Plot  Area,Ready To Move,1 Bedroom,Karve Nagar,,2Acres,1,0,125
Plot  Area,Ready To Move,1 Bedroom,Karve Road,,600,1,0,52
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,Suram S,1180,2,2,70
Super built-up  Area,Ready To Move,2 BHK,Katraj,SLoven ,1010,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Khadaki,,1070,2,1,38
Super built-up  Area,Ready To Move,3 BHK,Khadki,,1580,3,3,105
Plot  Area,Ready To Move,4 Bedroom,Kharadi,,1200,5,,325
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,,2000,3,,165
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Budruk,DNionfl,1920,3,2,130
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,,1200,2,1,76
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,Prmesi ,1040,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Kothrud,Inods A,1430,2,2,90
Super built-up  Area,Ready To Move,3 BHK,Law College Road,,1215,2,2,52.85
Super built-up  Area,Ready To Move,1 BHK,Laxmi Road,Saiewas,650,1,1,70
Super built-up  Area,Ready To Move,3 BHK,Lulla Nagar,Soitya ,1564,3,1,105
Built-up  Area,Ready To Move,3 Bedroom,Mahatma Gandhi Road,,800,2,1,52
Built-up  Area,Ready To Move,2 Bedroom,Mangalwar peth,,750,2,0,58
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,,1200,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Market yard,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,2 BHK,Model colony,Dhalsh ,1200,2,2,44.4
Super built-up  Area,Ready To Move,4 BHK,Mukund Nagar,,2000,4,1,135
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,Leora D,2750,3,,260
Plot  Area,Ready To Move,4 Bedroom,Nagar Road,,2400,4,2,480
Built-up  Area,Ready To Move,3 BHK,Nana Peth,BKideor,1650,3,3,105
Super built-up  Area,18-Jun,2 BHK,Narayan Peth,,1235,2,2,148
Built-up  Area,Ready To Move,2 BHK,Narayangaon,JSlipTu,1200,2,2,55
Super built-up  Area,Ready To Move,6 BHK,Navi Peth,,900,5,,100
Super built-up  Area,Ready To Move,2 BHK,Padmavati,Malowr ,985,2,2,42
Super built-up  Area,18-May,3 BHK,Parvati Darshan,ViistLa,1475,2,2,63
Super built-up  Area,Ready To Move,3 BHK,Pashan,Brium C,3450,5,0,348
Super built-up  Area,19-Nov,3 BHK,Paud Road,AsastDe,1157,2,1,53.99
Built-up  Area,Ready To Move,2 BHK,Pirangut,Apvas N,900,2,3,35
Plot  Area,Ready To Move,4 Bedroom,Prabhat Road,,2500,3,2,120
Built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,1030,2,1,60
Super built-up  Area,18-Apr,2 BHK,Rasta Peth,,1000,2,1,46
Built-up  Area,Ready To Move,4 Bedroom,Raviwar Peth,Vaunei ,3800,3,3,325
Plot  Area,18-May,4 Bedroom,Sadashiv Peth,,4260,4,2,333
Plot  Area,Ready To Move,5 Bedroom,Sahakar Nagar,Goodsrb,1950,6,3,175
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,GKityde,1570,2,2,65.94
Super built-up  Area,18-Aug,2 BHK,Sasson Road,GoityEt,1283,2,2,68
Built-up  Area,Ready To Move,3 BHK,Satara Road,Assha A,875,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,1200,2,2,52
Plot  Area,Ready To Move,3 Bedroom,Shaniwar Peth,,2700,3,0,500
Plot  Area,Ready To Move,3 Bedroom,Shivaji Nagar,,2400,2,3,180
Super built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,,1250,2,2,68.75
Super built-up  Area,18-Feb,4 BHK,Sinhagad Road,Brica E,3630,6,1,196
Super built-up  Area,Ready To Move,2 BHK,Somwar Peth,Pyikad ,990,2,2,37.62
Super built-up  Area,Ready To Move,2 BHK,Swargate,Prcesvy,1199,2,1,85
Super built-up  Area,Ready To Move,2 BHK,Tilak Road,,1280,2,2,90
Super built-up  Area,20-May,4 BHK,Uruli Devachi,,2750,4,0,413
Built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,Myhrie ,1190,2,1,55
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,,1100,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Viman Nagar,,2075,3,1,175
Built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Spiteid,1133,2,1,55
Built-up  Area,Ready To Move,4 BHK,Wagholi,ManceEl,2400,3,3,140
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,,1280,2,2,69
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,,1250,3,2,65
Super built-up  Area,Ready To Move,3 BHK,Warje,Dhalsh ,1565,2,2,49.3
Super built-up  Area,Ready To Move,3 BHK,Yerawada,,1900,3,0,65
Built-up  Area,Ready To Move,2 BHK,Alandi Road,PancyRe,1080,2,2,45
Super built-up  Area,Ready To Move,1 BHK,Ambegaon Budruk,,600,1,0,47
Plot  Area,Ready To Move,3 Bedroom,Anandnagar,Hiowsi ,1240,4,1,180
Built-up  Area,Ready To Move,3 BHK,Aundh,Fleepi ,1335,2,1,87
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,,1246,2,1,67.3
Super built-up  Area,18-Dec,3 BHK,Balaji Nagar,Pehtsa ,3103 - 3890,,,237.5
Super built-up  Area,Ready To Move,3 BHK,Baner,,1385,3,1,55
Super built-up  Area,18-Nov,3 BHK,Baner road,,1578,3,1,73.9
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,NRosete,1140,2,2,46
Super built-up  Area,18-Dec,3 BHK,Bhavani Peth,PualeSk,1700,3,1,79.9
Plot  Area,Ready To Move,4 Bedroom,Bibvewadi,,1050,4,0,90
Built-up  Area,Ready To Move,2 BHK,Bopodi,,1120,2,1,70
Super built-up  Area,Ready To Move,1 BHK,Budhwar Peth,GMown E,435,1,1,22
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,Vrenty ,1116,2,1,51.89
Super built-up  Area,Ready To Move,3 BHK,Camp,Brglede,1480,3,2,95
Built-up  Area,Ready To Move,2 BHK,Chandan Nagar,Foisha ,1000,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Dapodi,NRosete,1145,2,2,46
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,Niara S,800,1,1,32
Super built-up  Area,18-Apr,2 BHK,Dehu Road,Bhmesy ,1265,2,1,83
Super built-up  Area,21-Jul,3 BHK,Dhankawadi,Oznuean,1450 - 1950,3,0,88.2
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,Vacle P,1475,2,1,70
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,Jancyva,1265,2,2,55
Built-up  Area,Ready To Move,2 Bedroom,Erandwane,,1200,2,0,58
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,Prhtsok,2180,3,2,210
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,Usnexra,1080,2,3,50
Super built-up  Area,Ready To Move,3 BHK,Ganesh Peth,Priew P,2023,4,2,130
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,,2400,2,3,125
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,Srhan P,1545,2,2,66
Super built-up  Area,Ready To Move,3 BHK,Ghorpadi,Prillot,1804,3,2,166
Plot  Area,Ready To Move,2 Bedroom,Gokhale Nagar,,1200,2,1,200
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,,1350,2,,58
Super built-up  Area,21-Dec,2 BHK,Guruwar peth,GoAirej,1108,2,1,74.23
Super built-up  Area,Ready To Move,3 BHK,Hadapsar,Asintas,1730,3,2,115
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,PancyRe,1427,2,3,70
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Pyikad ,935,2,1,35.53
Super built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,Soe 2as,1073,2,2,31.77
Built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,Patri M,960,2,3,37
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,Prtanha,2215,4,2,150
Built-up  Area,18-Aug,2 BHK,Karve Road,Sryalan,1125,2,1,32.49
Built-up  Area,Ready To Move,2 BHK,Kasba Peth,,1230,2,3,55
Super built-up  Area,Ready To Move,2 BHK,Katraj,Neagar ,1438,2,,89
Super built-up  Area,Ready To Move,2 BHK,Khadaki,Brnia G,1080,2,2,75
Plot  Area,Ready To Move,3 Bedroom,Khadki,,1200,3,,125
Plot  Area,Ready To Move,2 Bedroom,Kharadi,,1200,1,1,103
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Aklia R,1590,3,2,58
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Budruk,Mazler ,1350,3,2,68
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,,1400,2,2,48
Super built-up  Area,Ready To Move,3 BHK,Koregaon Park,Aincyev,1560,2,3,72
Built-up  Area,Ready To Move,4 BHK,Kothrud,Shbhi S,1810,3,2,57
Super built-up  Area,Ready To Move,3 BHK,Law College Road,SoniaPe,2274.24,4,1,160
Super built-up  Area,18-Dec,3 BHK,Laxmi Road,Skacak ,1484,3,1,74.18
Built-up  Area,Ready To Move,3 BHK,Lulla Nagar,MCtleas,1650,3,3,220
Super built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,Pantsce,1455,2,2,55
Super built-up  Area,Ready To Move,3 BHK,Mangalwar peth,G conTh,2280,4,2,184
Super built-up  Area,Ready To Move,5 BHK,Manik Bagh,,4900,5,,980
Built-up  Area,18-Apr,3 BHK,Market yard,,2079,3,3,220
Super built-up  Area,Ready To Move,2 BHK,Model colony,FoapeWa,1351,2,2,74
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,,1223,2,2,42.81
Super built-up  Area,18-Jun,3 BHK,Mundhawa,MCnexva,1430,2,1,61
Built-up  Area,Ready To Move,4 Bedroom,Nagar Road,Prrry M,3589,5,0,400
Super built-up  Area,18-Aug,3 BHK,Nana Peth,Sryalan,1310,2,2,37.83
Plot  Area,Ready To Move,4 Bedroom,Narayan Peth,,1800,4,1,300
Plot  Area,18-May,4 Bedroom,Narayangaon,,1120,4,2,175
